protocol,bandwidth,min_delay,qmult,fairness_cross_mean,fairness_cross_std,goodput_cross_mean,goodput_cross_std,retr_cross_mean,retr_cross_std
cubic,100,20,0.2,0.8273650434494799,0.01576233804085998,92.38359679698877,0.03574544184930004,0.026355628967285154,0.0036829473656443744
bbr1,100,20,0.2,0.9935364936279963,0.004664504403950465,92.29167363257963,0.12060161299108055,3.784004516601563,0.14289792376831498
bbr3,100,20,0.2,0.9796942590703234,0.012918798903077155,91.96015456434527,0.2116395817534702,0.20448143005371094,0.01955603735278171
astraea,100,20,0.2,0.9944407766241129,0.0024368259766233665,97.59586039999999,0.059773431093088164,0.5223054885864258,0.02561279465002022
cubic,100,40,0.2,0.9488452984933147,0.014155307195189175,92.34645827825663,0.02831586536776408,0.03508792877197266,0.0027138438212204524
bbr1,100,40,0.2,0.9903812917045023,0.008438130064302494,91.69609412458175,0.35354000537637104,3.314034919738769,0.2668635913230204
bbr3,100,40,0.2,0.9795556695868239,0.0064101297715793105,92.03855021526053,0.14042790457489993,0.21615200042724608,0.013412619729943752
astraea,100,40,0.2,0.9994499162153628,0.0007628378793508425,97.5397332,0.0652660045119943,0.7338020324707031,0.020829062728840272
cubic,100,20,1.0,0.9688861710217566,0.013471238856136098,92.47910716304742,0.012960557397042084,0.025165443420410154,0.004102662703144263
bbr1,100,20,1.0,0.7909697098755749,0.03120374644654286,91.70424581023568,0.3783296865600399,1.7573985671997072,0.41071102904801804
bbr3,100,20,1.0,0.8121736140323336,0.03056955113013039,92.01256375483128,0.15717246282414296,0.1502838134765625,0.03140853041538295
astraea,100,20,1.0,0.9964135661834261,0.0004186913131233387,97.55548759999999,0.0007322965519459796,0.00038898468017578125,0.0001325146766636423
cubic,100,40,1.0,0.967412565614522,0.022213027945585873,92.42704095249726,0.00894380803821169,0.04817962646484375,0.003977871488751433
bbr1,100,40,1.0,0.9574017370417345,0.031685732599613436,91.54257418761453,0.3805050892112807,1.9179614639282228,0.3847424663133662
bbr3,100,40,1.0,0.98063027402461,0.014987560802984912,91.8773484449433,0.0766517899924022,0.24153018951416017,0.040294691884157734
astraea,100,40,1.0,0.9999554264268429,6.911625103608969e-06,97.5618864,0.0005140294155007889,0.00794219970703125,0.00028815486859163296
cubic,100,20,4.0,0.9697948815181748,0.020169680655339986,92.6988155706559,0.15548806106934912,0.033702850341796875,0.008836439709089337
bbr1,100,20,4.0,0.6789309956283518,0.007919760935965742,91.28983106725637,0.09963633559913825,0.0,0.0
bbr3,100,20,4.0,0.9014692978106409,0.02970793474938307,92.49162861718018,0.10677692041905733,0.04900360107421875,0.026963858890141874
astraea,100,20,4.0,0.9964174899167343,0.0002507868797313811,97.55095159999999,0.006955284425537862,0.0,0.0
cubic,100,40,4.0,0.991105309703887,0.0040664087282651275,92.74122566623835,0.13715819125711842,0.08242034912109375,0.006465111742054525
bbr1,100,40,4.0,0.8464335288168622,0.036450531194643754,91.23214238305182,0.09614236252035308,0.0,0.0
bbr3,100,40,4.0,0.972323775032194,0.012063928913605101,92.36806975871424,0.14534658101189513,0.15116500854492188,0.04358656903408267
astraea,100,40,4.0,0.9998783153943565,8.116398855522942e-05,97.5617524,0.0010838150395705672,0.0,0.0
